"order_id"	"delivery_type"	"order_date"	"shipping_date"	"delay_days"
9	"Same_Day"	"2020-01-02"	"2020-02-01"	30
111	"Express"	"2020-01-12"	"2020-02-11"	30
112	"Express"	"2020-01-12"	"2020-02-11"	30
178	"Express"	"2020-01-17"	"2020-02-16"	30
380	"Express"	"2020-02-02"	"2020-03-03"	30
473	"Express"	"2020-02-10"	"2020-03-11"	30
564	"Same_Day"	"2020-02-16"	"2020-03-17"	30
734	"Express"	"2020-03-03"	"2020-04-02"	30
827	"Same_Day"	"2020-03-10"	"2020-04-09"	30
844	"Same_Day"	"2020-03-12"	"2020-04-11"	30
897	"Same_Day"	"2020-03-17"	"2020-04-16"	30
901	"Express"	"2020-03-18"	"2020-04-17"	30
956	"Same_Day"	"2020-03-22"	"2020-04-21"	30
1074	"Same_Day"	"2020-04-01"	"2020-05-01"	30
1088	"Same_Day"	"2020-04-02"	"2020-05-02"	30
1362	"Express"	"2020-04-25"	"2020-05-25"	30
1421	"Express"	"2020-04-29"	"2020-05-29"	30
1434	"Express"	"2020-04-30"	"2020-05-30"	30
1450	"Same_Day"	"2020-05-01"	"2020-05-31"	30
1568	"Same_Day"	"2020-05-11"	"2020-06-10"	30
1595	"Same_Day"	"2020-05-13"	"2020-06-12"	30
1673	"Express"	"2020-05-19"	"2020-06-18"	30
1781	"Express"	"2020-05-27"	"2020-06-26"	30
1825	"Same_Day"	"2020-05-31"	"2020-06-30"	30
1896	"Same_Day"	"2020-06-06"	"2020-07-06"	30
1915	"Same_Day"	"2020-06-07"	"2020-07-07"	30
1988	"Same_Day"	"2020-06-13"	"2020-07-13"	30
2010	"Express"	"2020-06-14"	"2020-07-14"	30
2012	"Express"	"2020-06-14"	"2020-07-14"	30
2029	"Express"	"2020-06-15"	"2020-07-15"	30
2206	"Same_Day"	"2020-06-30"	"2020-07-30"	30
2341	"Express"	"2020-07-10"	"2020-08-09"	30
2401	"Express"	"2020-07-15"	"2020-08-14"	30
2418	"Express"	"2020-07-17"	"2020-08-16"	30
2485	"Same_Day"	"2020-07-22"	"2020-08-21"	30
2510	"Same_Day"	"2020-07-24"	"2020-08-23"	30
2802	"Same_Day"	"2020-08-15"	"2020-09-14"	30
2913	"Same_Day"	"2020-08-23"	"2020-09-22"	30
3002	"Express"	"2020-08-28"	"2020-09-27"	30
3097	"Same_Day"	"2020-09-06"	"2020-10-06"	30
3161	"Same_Day"	"2020-09-09"	"2020-10-09"	30
3195	"Express"	"2020-09-12"	"2020-10-12"	30
3438	"Same_Day"	"2020-10-01"	"2020-10-31"	30
3440	"Same_Day"	"2020-10-01"	"2020-10-31"	30
3497	"Same_Day"	"2020-10-06"	"2020-11-05"	30
3668	"Express"	"2020-10-19"	"2020-11-18"	30
3683	"Same_Day"	"2020-10-21"	"2020-11-20"	30
3717	"Same_Day"	"2020-10-23"	"2020-11-22"	30
3773	"Same_Day"	"2020-10-27"	"2020-11-26"	30
3937	"Same_Day"	"2020-11-08"	"2020-12-08"	30
4052	"Same_Day"	"2020-11-17"	"2020-12-17"	30
4074	"Same_Day"	"2020-11-19"	"2020-12-19"	30
4082	"Express"	"2020-11-19"	"2020-12-19"	30
4109	"Same_Day"	"2020-11-22"	"2020-12-22"	30
4159	"Express"	"2020-11-25"	"2020-12-25"	30
4203	"Express"	"2020-11-27"	"2020-12-27"	30
4219	"Same_Day"	"2020-11-28"	"2020-12-28"	30
4350	"Express"	"2020-12-08"	"2021-01-07"	30
4579	"Same_Day"	"2020-12-25"	"2021-01-24"	30
4668	"Express"	"2021-01-01"	"2021-01-31"	30
4811	"Same_Day"	"2021-01-12"	"2021-02-11"	30
4875	"Same_Day"	"2021-01-17"	"2021-02-16"	30
4891	"Same_Day"	"2021-01-18"	"2021-02-17"	30
4894	"Same_Day"	"2021-01-18"	"2021-02-17"	30
4904	"Express"	"2021-01-19"	"2021-02-18"	30
4951	"Express"	"2021-01-23"	"2021-02-22"	30
5013	"Express"	"2021-01-28"	"2021-02-27"	30
5075	"Same_Day"	"2021-02-02"	"2021-03-04"	30
5144	"Express"	"2021-02-08"	"2021-03-10"	30
5151	"Express"	"2021-02-08"	"2021-03-10"	30
5192	"Same_Day"	"2021-02-11"	"2021-03-13"	30
5228	"Express"	"2021-02-14"	"2021-03-16"	30
5244	"Same_Day"	"2021-02-16"	"2021-03-18"	30
5271	"Same_Day"	"2021-02-18"	"2021-03-20"	30
5289	"Same_Day"	"2021-02-19"	"2021-03-21"	30
5318	"Express"	"2021-02-21"	"2021-03-23"	30
5421	"Express"	"2021-03-01"	"2021-03-31"	30
5562	"Express"	"2021-03-11"	"2021-04-10"	30
5618	"Express"	"2021-03-14"	"2021-04-13"	30
5744	"Same_Day"	"2021-03-24"	"2021-04-23"	30
5856	"Express"	"2021-03-31"	"2021-04-30"	30
6149	"Same_Day"	"2021-04-21"	"2021-05-21"	30
6183	"Same_Day"	"2021-04-24"	"2021-05-24"	30
6262	"Same_Day"	"2021-04-30"	"2021-05-30"	30
6269	"Same_Day"	"2021-04-30"	"2021-05-30"	30
6279	"Express"	"2021-05-01"	"2021-05-31"	30
6318	"Same_Day"	"2021-05-03"	"2021-06-02"	30
6443	"Express"	"2021-05-12"	"2021-06-11"	30
6471	"Express"	"2021-05-15"	"2021-06-14"	30
6566	"Express"	"2021-05-22"	"2021-06-21"	30
6572	"Same_Day"	"2021-05-22"	"2021-06-21"	30
6637	"Express"	"2021-05-28"	"2021-06-27"	30
7079	"Same_Day"	"2021-07-04"	"2021-08-03"	30
7094	"Express"	"2021-07-06"	"2021-08-05"	30
7102	"Same_Day"	"2021-07-07"	"2021-08-06"	30
7169	"Express"	"2021-07-12"	"2021-08-11"	30
7181	"Same_Day"	"2021-07-13"	"2021-08-12"	30
7267	"Same_Day"	"2021-07-19"	"2021-08-18"	30
7297	"Same_Day"	"2021-07-21"	"2021-08-20"	30
7324	"Express"	"2021-07-23"	"2021-08-22"	30
7395	"Express"	"2021-07-28"	"2021-08-27"	30
7405	"Express"	"2021-07-29"	"2021-08-28"	30
7466	"Same_Day"	"2021-08-03"	"2021-09-02"	30
7486	"Same_Day"	"2021-08-05"	"2021-09-04"	30
7955	"Same_Day"	"2021-09-09"	"2021-10-09"	30
8017	"Express"	"2021-09-15"	"2021-10-15"	30
8020	"Express"	"2021-09-15"	"2021-10-15"	30
8271	"Same_Day"	"2021-10-04"	"2021-11-03"	30
8387	"Same_Day"	"2021-10-13"	"2021-11-12"	30
8389	"Express"	"2021-10-13"	"2021-11-12"	30
8418	"Same_Day"	"2021-10-16"	"2021-11-15"	30
8513	"Express"	"2021-10-24"	"2021-11-23"	30
8532	"Same_Day"	"2021-10-25"	"2021-11-24"	30
8713	"Same_Day"	"2021-11-07"	"2021-12-07"	30
8721	"Express"	"2021-11-08"	"2021-12-08"	30
8802	"Same_Day"	"2021-11-13"	"2021-12-13"	30
8818	"Express"	"2021-11-15"	"2021-12-15"	30
8911	"Same_Day"	"2021-11-22"	"2021-12-22"	30
8978	"Express"	"2021-11-28"	"2021-12-28"	30
9004	"Same_Day"	"2021-11-30"	"2021-12-30"	30
9075	"Express"	"2021-12-05"	"2022-01-04"	30
9086	"Same_Day"	"2021-12-06"	"2022-01-05"	30
9183	"Express"	"2021-12-13"	"2022-01-12"	30
9186	"Express"	"2021-12-13"	"2022-01-12"	30
9204	"Express"	"2021-12-15"	"2022-01-14"	30
9264	"Express"	"2021-12-20"	"2022-01-19"	30
9275	"Same_Day"	"2021-12-21"	"2022-01-20"	30
9327	"Express"	"2021-12-24"	"2022-01-23"	30
9410	"Same_Day"	"2021-12-31"	"2022-01-30"	30
9438	"Same_Day"	"2022-01-02"	"2022-02-01"	30
9522	"Express"	"2022-01-08"	"2022-02-07"	30
9627	"Same_Day"	"2022-01-16"	"2022-02-15"	30
9650	"Same_Day"	"2022-01-18"	"2022-02-17"	30
9719	"Same_Day"	"2022-01-23"	"2022-02-22"	30
9919	"Express"	"2022-02-07"	"2022-03-09"	30
9965	"Same_Day"	"2022-02-11"	"2022-03-13"	30
10118	"Same_Day"	"2022-02-21"	"2022-03-23"	30
10191	"Express"	"2022-02-28"	"2022-03-30"	30
10358	"Express"	"2022-03-13"	"2022-04-12"	30
10402	"Express"	"2022-03-16"	"2022-04-15"	30
10570	"Express"	"2022-03-29"	"2022-04-28"	30
10632	"Express"	"2022-04-04"	"2022-05-04"	30
10693	"Same_Day"	"2022-04-09"	"2022-05-09"	30
10759	"Same_Day"	"2022-04-14"	"2022-05-14"	30
10841	"Express"	"2022-04-22"	"2022-05-22"	30
10883	"Express"	"2022-04-25"	"2022-05-25"	30
10885	"Same_Day"	"2022-04-26"	"2022-05-26"	30
10965	"Same_Day"	"2022-05-02"	"2022-06-01"	30
10984	"Same_Day"	"2022-05-03"	"2022-06-02"	30
11018	"Same_Day"	"2022-05-06"	"2022-06-05"	30
11051	"Same_Day"	"2022-05-08"	"2022-06-07"	30
11194	"Express"	"2022-05-20"	"2022-06-19"	30
11282	"Express"	"2022-05-27"	"2022-06-26"	30
11310	"Express"	"2022-05-29"	"2022-06-28"	30
11350	"Express"	"2022-06-01"	"2022-07-01"	30
11400	"Express"	"2022-06-04"	"2022-07-04"	30
11401	"Express"	"2022-06-04"	"2022-07-04"	30
11540	"Same_Day"	"2022-06-17"	"2022-07-17"	30
11636	"Express"	"2022-06-23"	"2022-07-23"	30
11823	"Express"	"2022-07-06"	"2022-08-05"	30
11851	"Express"	"2022-07-09"	"2022-08-08"	30
11916	"Express"	"2022-07-14"	"2022-08-13"	30
12062	"Same_Day"	"2022-07-23"	"2022-08-22"	30
12141	"Same_Day"	"2022-07-29"	"2022-08-28"	30
12268	"Same_Day"	"2022-08-10"	"2022-09-09"	30
12362	"Express"	"2022-08-16"	"2022-09-15"	30
12450	"Same_Day"	"2022-08-24"	"2022-09-23"	30
12594	"Same_Day"	"2022-09-04"	"2022-10-04"	30
12672	"Same_Day"	"2022-09-09"	"2022-10-09"	30
12744	"Express"	"2022-09-15"	"2022-10-15"	30
12824	"Express"	"2022-09-21"	"2022-10-21"	30
12867	"Express"	"2022-09-24"	"2022-10-24"	30
12933	"Same_Day"	"2022-09-28"	"2022-10-28"	30
12944	"Express"	"2022-09-29"	"2022-10-29"	30
13133	"Same_Day"	"2022-10-13"	"2022-11-12"	30
13162	"Express"	"2022-10-15"	"2022-11-14"	30
13302	"Same_Day"	"2022-10-26"	"2022-11-25"	30
13426	"Same_Day"	"2022-11-04"	"2022-12-04"	30
